Location,Sale Date,Sale Price,Model,Living Area,Nbhd
7101 W 113TH ST,06/17/2022,"$620,000.00",Residential,1746,Auto Club,
7021 W 113TH ST,07/23/2021,"$605,000.00",Residential,2411,Auto Club,
7600 BUSH LAKE DR,03/27/2020,"$625,000.00",Residential,3481,Bush Lake,
8104 W 110TH ST,06/30/2021,"$661,000.00",Residential,2508,Auto Club,
8122 W 109TH ST CIR,10/04/2021,"$565,000.00",Residential,2114,Auto Club,
10812 YUKON AVE S,06/30/2021,"$670,000.00",Residential,2770,Auto Club,
7500 AUTO CLUB CIR,08/19/2020,"$547,500.00",Residential,2492,Auto Club,
10121 XERXES AVE S,05/27/2022,"$484,000.00",Residential,1140,Jefferson,
8109 W 93RD ST,08/25/2022,"$810,000.00",Residential,4657,Bush Lake,
9926 PENN AVE S,05/04/2020,"$280,000.00",Residential,1314,Moir Park,
807 E 96TH ST,09/18/2020,"$297,000.00",Residential,1257,Running Park,
5611 AUTO CLUB RD,04/22/2021,"$640,000.00",Residential,2485,Auto Club,
7527 W 102ND ST,05/21/2021,"$253,000.00",Residential,960,Countryside,
7900 W 84TH ST,05/31/2022,"$585,000.00",Residential,1591,Highwood,
10201 QUEBEC AVE S,09/03/2021,"$245,000.00",Residential,960,Countryside,
8310 W 109TH ST,07/15/2020,"$515,000.00",Residential,2347,Auto Club,
5812 W OLD SHAKOPEE RD,03/25/2022,"$260,500.00",Residential,1128,West Side RZ's,
11032 GLEN WILDING LN,05/03/2022,"$760,000.00",Residential,2913,Glen Wilding,
7900 TELEGRAPH RD,12/22/2020,"$540,000.00",Residential,2780,Highwood,
8419 FREMONT AVE S,12/01/2021,"$285,000.00",Residential,1206,Bryant Lake,
9540 WYOMING AVE S,08/20/2020,"$650,000.00",Residential,2132,Bush Lake,
9548 WYOMING AVE S,09/23/2021,"$605,000.00",Residential,1885,Bush Lake,
9517 WYOMING AVE S,02/05/2021,"$708,875.00",Residential,4048,Bush Lake,
9541 VIRGINIA AVE S,05/15/2020,"$690,000.00",Residential,3031,Bush Lake,
9573 VIRGINIA AVE S,07/09/2021,"$866,000.00",Residential,2391,Bush Lake,
9581 VIRGINIA AVE S,03/09/2020,"$775,000.00",Residential,3119,Bush Lake,
6963 KENMARE DR,06/01/2020,"$686,000.00",Residential,3388,Auto Club,
6998 KENMARE DR,10/08/2021,"$730,000.00",Residential,2058,Auto Club,
7630 SOUTH BAY DR,04/20/2021,"$840,000.00",Residential,2515,Bush Lake,
11033 GIRARD CURVE,03/12/2020,"$693,000.00",Residential,2167,Glen Wilding,
11010 HUMBOLDT AVE S,06/28/2021,"$826,000.00",Residential,2959,Glen Wilding,
10200 NESBITT AVE S,11/05/2021,"$600,000.00",Residential,2101,Hyland Greens,
10204 NESBITT AVE S,08/14/2020,"$575,000.00",Residential,2646,Hyland Greens,
240 NORMAN RIDGE DR,05/06/2021,"$335,000.00",Residential,1189,Norman Ridge Sub Nbh,
10027 PORTLAND AVE S,06/11/2021,"$364,000.00",Residential,1396,Pond-Dakota Mission,
8919 BIRCHWOOD LN,12/09/2022,"$960,000.00",Residential,2242,Bush Lake,
9601 LYNDALE AVE S,12/06/2022,"$2,887,727.00",Commercial,6037,,
10435 BRIAR COURT,06/30/2022,"$650,000.00",Residential,2034,Hyland Greens,
10420 NORMANDALE BLVD,10/30/2020,"$450,000.00",Residential,1962,Hyland Greens,
9516 12TH AVE S,04/15/2020,"$315,000.00",Residential,1840,Running Park,
4601 AMERICAN BLVD W,06/07/2022,"$6,700,000.00",Commercial,31990,,
10112 PILLSBURY AVE S,07/06/2022,"$410,000.00",Residential,2063,Oxboro,
7985 LEA CIR,03/24/2021,"$1,030,000.00",Residential,4398,Highwood,
9116 VINCENT AVE S,07/20/2021,"$330,000.00",Residential,1124,Marsh Lake,
7901 PENN AVE S,01/08/2021,"$995,000.00",Commercial,1872,,
4901 W 78TH ST CIR,07/08/2022,"$12,250,000.00",Commercial,1,,
4800 W 78TH ST,07/08/2022,"$12,250,000.00",Commercial,1,,
4950 W 78TH ST,07/29/2021,"$1,850,000.00",Commercial,12066,,
4960 W 78TH ST,07/29/2021,"$1,850,000.00",Commercial,12066,,
4910 W 78TH ST,07/08/2022,"$12,250,000.00",Vacant,0,,
4801 W 78TH ST CIR,07/08/2022,"$12,250,000.00",Commercial,1,,
200 NORMAN RIDGE DR,07/27/2020,"$489,000.00",Residential,2825,Norman Ridge Sub Nbh,
210 NORMAN RIDGE DR,07/10/2020,"$670,000.00",Residential,3012,Norman Ridge Sub Nbh,
10284 SCARBOROUGH RD,08/19/2022,"$585,000.00",Residential,1741,Jefferson,
10460 COLORADO CIR,06/01/2022,"$277,000.00",Residential,884,West Side RZ's,
1555 E 96TH ST,03/04/2021,"$410,000.00",Residential,1262,Pond-Dakota Mission,
10800 LYNDALE AVE S,04/16/2021,"$3,300,000.00",Commercial,59520,,
4637 KINGSDALE DR,06/01/2021,"$740,000.00",Residential,3138,Collegeview,
10737 LYNDALE BLUFFS TRAIL,08/28/2020,"$850,000.00",Residential,1810,Sans Pierre,
10755 LYNDALE BLUFFS TRAIL,04/16/2021,"$692,750.00",Residential,1722,Sans Pierre,
10767 LYNDALE BLUFFS TRAIL,11/20/2020,"$690,000.00",Residential,1725,Sans Pierre,
8053 BLOOMINGTON FWY 1,02/28/2022,"$360,000.00",Commercial,2683,,
8053 BLOOMINGTON FWY 2,12/20/2021,"$324,000.00",Commercial,2420,,
8053 BLOOMINGTON FWY 6,04/27/2022,"$435,000.00",Commercial,2527,,
9304 LYNDALE AVE S,05/21/2021,"$1,000,000.00",Commercial,3202,,
6806 W 113TH ST,04/29/2022,"$700,000.00",Residential,1985,Auto Club,
11337 JERSEY RD,08/09/2022,"$631,800.00",Residential,2658,Auto Club,
10478 COLORADO CIR,07/29/2021,"$250,000.00",Residential,1060,Norman Ridge,
401 W 86TH ST,11/10/2022,"$315,000.00",Commercial,1,,
8301 W 110TH ST,12/09/2022,"$1,100,000.00",Residential,3320,Auto Club,
11025 AQUILA BLUFFS CIR,01/14/2022,"$440,000.00",Vacant,0,Auto Club,
11017 AQUILA BLUFFS CIR,07/30/2021,"$1,990,000.00",Residential,4152,Auto Club,
10512 HOPKINS RD,07/12/2022,"$345,000.00",Residential,888,Pond-Dakota Mission,
11110 BLOOMINGTON FERRY RD,10/03/2022,"$399,900.00",Residential,1024,Auto Club,
7317 AUTO CLUB RD,09/17/2021,"$2,025,000.00",Residential,4732,Auto Club,
7317 AUTO CLUB RD,03/02/2020,"$1,650,000.00",Residential,4732,Auto Club,
5700 W 78TH ST,12/21/2022,"$2,105,000.00",Commercial,1,,
7935 W BUSH LAKE RD,09/25/2020,"$317,140.00",Residential,960,Highwood,
9220 BRIAR LN,07/15/2022,"$565,000.00",Residential,2304,Norman Ridge Sub Nbh,
9220 BRIAR LN,04/22/2020,"$450,000.00",Residential,2304,Norman Ridge Sub Nbh,
10709 NESBITT AVE S,07/10/2020,"$280,000.00",Residential,1494,Hyland Greens,
8221 17TH AVE S,06/10/2021,"$285,000.00",Residential,912,Smith Park,
8244 17TH AVE S,08/16/2022,"$380,000.00",Residential,1512,Smith Park,
8218 17TH AVE S,06/13/2022,"$322,000.00",Residential,864,Smith Park,
8209 12TH AVE S,04/22/2022,"$380,000.00",Residential,1248,Smith Park,
8212 13TH AVE S,10/11/2021,"$310,000.00",Residential,1710,Smith Park,
8227 12TH AVE S,06/29/2021,"$360,000.00",Residential,1368,Smith Park,
8224 13TH AVE S,12/22/2021,"$345,000.00",Residential,1444,Smith Park,
8240 13TH AVE S,10/15/2021,"$210,000.00",Residential,1020,Smith Park,
8241 13TH AVE S,08/21/2020,"$306,000.00",Residential,1040,Smith Park,
8109 12TH AVE S,01/11/2021,"$315,000.00",Residential,1222,Smith Park,
8102 13TH AVE S,08/17/2022,"$282,000.00",Residential,1156,Smith Park,
8114 13TH AVE S,10/14/2020,"$317,400.00",Residential,1656,Smith Park,
8049 13TH AVE S,11/02/2022,"$270,000.00",Residential,960,Smith Park,
8400 15TH AVE S,01/24/2022,"$319,900.00",Residential,1236,Smith Park,
8401 14TH AVE S,04/11/2022,"$259,000.00",Residential,1280,Smith Park,
8537 14TH AVE S,12/07/2021,"$317,000.00",Residential,1224,Smith Park,
8537 14TH AVE S,05/21/2020,"$289,900.00",Residential,1224,Smith Park,
8530 15TH AVE S,07/18/2022,"$380,000.00",Residential,1452,Smith Park,
8231 PORTLAND AVE S,01/20/2021,"$220,000.00",Residential,870,Smith Park,
8040 OLD CEDAR AVE S,02/01/2022,"$2,460,000.00",Commercial,20120,,
8212 1ST AVE S,09/29/2020,"$280,000.00",Residential,864,Valley View,
8200 1ST AVE S,05/03/2021,"$206,000.00",Residential,900,Valley View,
8308 WENTWORTH AVE S,06/01/2022,"$267,000.00",Residential,1488,Central Industrial P,
7876 PORTLAND AVE S,12/01/2022,"$2,025,000.00",Commercial,15000,,
415 E 78TH ST,06/10/2020,"$685,000.00",Commercial,2943,,
431 E 78TH ST,03/16/2022,"$1,500,000.00",Commercial,11187,,
8201 5TH AVE S,09/28/2021,"$330,000.00",Residential,1248,Valley View,
8115 NICOLLET AVE S,11/30/2020,"$280,000.00",Residential,1392,Central Industrial P,
8010 PORTLAND AVE S,10/28/2020,"$265,000.00",Residential,1682,Valley View,
8028 LYNDALE AVE S,11/05/2020,"$180,000.00",Residential,1054,Central Industrial P,
8350 FREMONT AVE S,10/23/2020,"$1,625,000.00",Multi-Family,8323,,
2100 W 86TH ST,09/09/2020,"$375,000.00",Residential,1392,Penn Lake,
8246 LOGAN AVE S,09/10/2021,"$388,900.00",Residential,2016,Penn Lake,
8217 LOGAN AVE S,04/10/2020,"$260,000.00",Residential,1152,Penn Lake,
8220 KNOX AVE S,01/27/2020,"$350,000.00",Residential,1784,Penn Lake,
8200 JAMES AVE S,08/21/2020,"$229,500.00",Residential,1070,Penn Lake,
8433 COLFAX AVE S,08/13/2021,"$285,000.00",Residential,1344,Bryant Lake,
3111 W 84TH ST,05/27/2021,"$315,000.00",Residential,1326,Marsh Lake,
8021 THOMAS LN,02/28/2022,"$329,000.00",Residential,912,Washburn,
8043 THOMAS LN,08/31/2021,"$325,000.00",Residential,1207,Washburn,
8000 SHERIDAN AVE S,07/17/2020,"$280,000.00",Residential,1242,Washburn,
8041 SHERIDAN AVE S,07/26/2022,"$330,000.00",Residential,1644,Washburn,
8014 SHERIDAN AVE S,08/09/2021,"$290,000.00",Residential,1435,Washburn,
8731 QUEEN AVE S,06/06/2022,"$327,100.00",Residential,1114,Washburn,
9125 RUSSELL AVE S,10/09/2020,"$289,000.00",Residential,1092,Marsh Lake,
9056 PENN AVE S,01/23/2020,"$2,450,000.00",Commercial,17973,,
3017 W 90TH ST,08/16/2021,"$450,000.00",Residential,1666,Marsh Lake,
2601 W 90TH ST,10/23/2020,"$220,000.00",Residential,1320,Marsh Lake,
8711 PENN AVE S,03/30/2022,"$435,000.00",Residential,2028,Penn Lake,
8743 PENN AVE S,09/08/2021,"$386,595.00",Residential,1646,Penn Lake,
8643 PENN AVE S,04/27/2022,"$435,000.00",Residential,1228,Penn Lake,
8643 PENN AVE S,05/14/2021,"$402,000.00",Residential,1228,Penn Lake,
9221 BRYANT AVE S,03/12/2021,"$257,000.00",Residential,1055,Central Industrial P,
9200 ALDRICH AVE S,05/17/2022,"$375,000.00",Residential,1440,Central Industrial P,
9210 ALDRICH AVE S,05/04/2020,"$285,900.00",Residential,1091,Central Industrial P,
9230 ALDRICH AVE S,09/08/2022,"$275,000.00",Residential,1091,Central Industrial P,
9000 DUPONT AVE S,11/25/2020,"$252,500.00",Residential,1116,Bryant Lake,
9000 FREMONT AVE S,05/09/2022,"$335,000.00",Residential,1028,Bryant Lake,
9000 EMERSON AVE S,08/16/2022,"$792,000.00",Commercial,5220,,
9013 EMERSON AVE S,07/26/2021,"$375,000.00",Residential,1418,Bryant Lake,
8722 LYNDALE AVE S,06/09/2021,"$1,300,000.00",Commercial,5945,,
8741 BRYANT AVE S,06/30/2021,"$320,000.00",Residential,980,Bryant Lake,
9321 PENN AVE S,02/18/2022,"$1,850,000.00",Commercial,24324,,
9025 JAMES AVE S,11/09/2022,"$55,000.00",Residential,580,Penn Lake,
8947 WENTWORTH AVE S,02/24/2022,"$325,400.00",Residential,1552,Central Industrial P,
8820 NICOLLET AVE S,01/29/2021,"$506,000.00",Multi-Family,3328,,
8800 PORTLAND AVE S,10/12/2021,"$310,000.00",Residential,1674,Valley View,
9331 PORTLAND AVE S,01/13/2021,"$296,000.00",Residential,1325,Running Park,
9333 OAKLAND AVE S,03/25/2022,"$360,000.00",Residential,1450,Running Park,
1610 E 87TH ST,06/10/2022,"$315,000.00",Residential,1226,Running Park,
8748 COLUMBUS AVE S,03/27/2020,"$287,000.00",Residential,1176,Running Park
8715 CHICAGO AVE S,02/21/2020,"$280,000.00",Residential,1066,Running Park
8722 ELLIOT AVE S,08/31/2022,"$245,000.00",Residential,1476,Running Park
1525 E 86TH ST,05/14/2021,"$275,000.00",Residential,576,Running Park
1110 E OLD SHAKOPEE RD,11/29/2021,"$320,000.00",Residential,960,Running Park
10137 PORTLAND AVE S,11/06/2020,"$265,000.00",Residential,960,Pond-Dakota Mission
660 E 100TH ST,05/24/2021,"$288,000.00",Residential,1192,Pond-Dakota Mission
9537 10TH AVE S,07/30/2021,"$303,500.00",Residential,1268,Running Park
909 E OLD SHAKOPEE RD,09/30/2020,"$465,000.00",Residential,1896,Pond-Dakota Mission
10001 PORTLAND AVE S,06/18/2021,"$345,000.00",Residential,1176,Pond-Dakota Mission
659 E 100TH ST,05/12/2021,"$340,000.00",Residential,1460,Pond-Dakota Mission
9925 PORTLAND AVE S,09/30/2020,"$197,400.00",Residential,672,Pond-Dakota Mission
9412 RIVERVIEW AVE S,12/14/2021,"$320,000.00",Residential,1323,Running Park
1336 E OLD SHAKOPEE RD,08/24/2022,"$375,000.00",Residential,1780,Running Park
108 W 98TH ST,04/29/2022,"$1,000,000.00",Commercial,9416,
9930 HUMBOLDT AVE S,09/17/2021,"$297,000.00",Residential,1121,Oak Grove
2126 W 98TH ST,04/28/2020,"$525,000.00",Multi-Family,4803,
9920 HUMBOLDT AVE S,03/22/2022,"$390,000.00",Residential,1274,Oak Grove
9940 HUMBOLDT AVE S,02/26/2020,"$275,000.00",Residential,895,Oak Grove
9824 HUMBOLDT AVE S,01/28/2022,"$267,000.00",Residential,1066,Oak Grove
10021 HUMBOLDT AVE S,01/30/2020,"$275,000.00",Residential,1008,Oak Grove
10152 LYNDALE AVE S,01/29/2020,"$277,000.00",Residential,1625,Oxboro
9810 PENN AVE S,05/20/2022,"$283,500.00",Residential,1065,Moir Park
10101 XERXES AVE S,11/30/2020,"$325,000.00",Residential,1092,Jefferson
10136 ABBOTT AVE S,10/06/2020,"$345,000.00",Residential,1398,Jefferson
3400 W 102ND ST,01/29/2021,"$234,900.00",Residential,824,Jefferson
10130 ABBOTT AVE S,05/18/2022,"$315,000.00",Residential,938,Jefferson
9820 ABBOTT AVE S,01/07/2021,"$310,000.00",Residential,1352,Jefferson
10010 ABBOTT AVE S,11/24/2020,"$280,000.00",Residential,1096,Jefferson
9950 ABBOTT AVE S,04/15/2020,"$329,000.00",Residential,1392,Jefferson
9828 ABBOTT AVE S,05/25/2022,"$411,000.00",Residential,852,Jefferson
9900 ABBOTT AVE S,08/25/2021,"$377,500.00",Residential,1544,Jefferson
9832 PENN AVE S,11/08/2021,"$274,000.00",Residential,1040,Moir Park
2424 IVY LN,04/15/2021,"$192,500.00",Residential,1022,Moir Park
2401 W 98TH ST,01/08/2021,"$325,000.00",Residential,1500,Moir Park
3016 W 102ND ST,05/19/2021,"$325,000.00",Residential,935,Jefferson
10131 XERXES AVE S,11/04/2021,"$346,000.00",Residential,1232,Jefferson
4916 W OLD SHAKOPEE RD,06/03/2021,"$270,000.00",Residential,1000,Valley West
10509 NORMANDALE BLVD,04/05/2021,"$362,000.00",Residential,1090,Jefferson
10509 NORMANDALE BLVD,09/11/2020,"$250,000.00",Residential,1090,Jefferson
5201 W OLD SHAKOPEE RD,07/26/2021,"$405,000.00",Residential,1837,Valley West
10643 KELL AVE S,07/30/2020,"$320,000.00",Residential,1050,Valley West
10925 NORMANDALE BLVD,05/05/2020,"$250,000.00",Residential,1396,Valley West
4325 W 109TH ST,08/02/2022,"$360,000.00",Residential,1014,Valley West
10957 MORRIS AVE S,10/31/2022,"$315,000.00",Residential,1040,Valley West
10917 MORRIS AVE S,07/09/2021,"$354,000.00",Residential,1190,Valley West
10933 LITTLE AVE S,11/23/2022,"$250,000.00",Residential,2706,Valley West
4918 W 108TH ST,11/05/2021,"$340,000.00",Residential,1126,Valley West
5008 W 108TH ST,04/30/2020,"$296,000.00",Residential,1056,Valley West
5000 W 110TH ST,02/22/2021,"$280,000.00",Residential,1114,Valley West
10817 PALMER AVE S,03/03/2021,"$340,000.00",Residential,1358,Valley West
4901 W OLD SHAKOPEE RD,02/02/2021,"$259,250.00",Residential,1292,Valley West
10901 MORRIS AVE S,06/10/2020,"$258,000.00",Residential,1144,Valley West
3611 W 103RD ST,09/22/2020,"$349,000.00",Residential,1392,Jefferson
10818 YORK AVE S,02/18/2020,"$292,000.00",Residential,1344,Dwan
10801 ABBOTT AVE S,11/11/2021,"$314,000.00",Residential,1092,Dwan
10932 XERXES AVE S,12/03/2021,"$350,000.00",Residential,1040,Dwan
10932 ZENITH AVE S,06/08/2021,"$347,000.00",Residential,1342,Dwan
10925 ZENITH AVE S,02/11/2022,"$432,000.00",Residential,1040,Dwan
10933 ZENITH AVE S,09/02/2020,"$360,000.00",Residential,1320,Dwan
3206 W 110TH ST,11/17/2021,"$370,000.00",Residential,1200,Dwan
10752 ZENITH AVE S,07/09/2021,"$287,000.00",Residential,1448,Dwan
10631 ZENITH AVE S,05/17/2021,"$340,000.00",Residential,1356,Dwan
10851 ZENITH AVE S,10/01/2021,"$295,000.00",Residential,864,Dwan
10752 XERXES AVE S,05/24/2021,"$335,000.00",Residential,980,Dwan
10602 XERXES AVE S,03/16/2021,"$259,900.00",Residential,720,Dwan
3213 W OLD SHAKOPEE RD,02/18/2022,"$325,000.00",Residential,1125,Dwan
10524 XERXES AVE S,10/30/2020,"$265,000.00",Residential,1428,Dwan
10224 LYNDALE AVE S,08/31/2022,"$302,500.00",Residential,892,Oxboro
2171 OVERLOOK DR,09/30/2022,"$650,000.00",Residential,2140,Glen Wilding
2171 OVERLOOK DR,06/09/2021,"$600,000.00",Residential,2140,Glen Wilding
1100 BLISS LN,07/19/2022,"$327,289.00",Residential,1632,Glen Wilding
1400 VALLEY HIGH DR,11/09/2022,"$513,000.00",Residential,2063,Glen Wilding
10322 HARRIET AVE S,11/22/2021,"$412,000.00",Residential,1644,Pond-Dakota Mission
10225 LYNDALE AVE S,09/08/2021,"$4,200,000.00",Commercial,0,
10221 GRAND AVE S,03/12/2021,"$235,000.00",Residential,1364,Pond-Dakota Mission
325 W 102ND ST,04/17/2020,"$304,000.00",Residential,1766,Pond-Dakota Mission
10325 GRAND AVE S,08/27/2020,"$264,900.00",Residential,876,Pond-Dakota Mission
10310 PLEASANT AVE S,06/11/2021,"$331,000.00",Residential,1517,Pond-Dakota Mission
10215 PLEASANT AVE S,07/30/2021,"$345,000.00",Residential,1308,Pond-Dakota Mission
3001 OVERLOOK DR,04/17/2020,"$730,000.00",Residential,2830,Dwan
11115 NORMANDALE BLVD,06/21/2022,"$320,000.00",Residential,1557,Southwood
11017 JOHNSON AVE S,05/01/2022,"$390,000.00",Residential,1040,Southwood
11020 FRANCE AVE S,12/27/2021,"$333,000.00",Residential,1694,Southwood
8326 12TH AVE S,07/01/2022,"$224,503.00",Residential,1256,Smith Park
8227 11TH AVE S,03/26/2021,"$210,000.00",Residential,856,Smith Park
8200 11TH AVE S,05/27/2021,"$271,198.00",Residential,992,Smith Park
8220 11TH AVE S,04/03/2020,"$225,500.00",Residential,856,Smith Park
8250 11TH AVE S,11/09/2020,"$227,000.00",Residential,856,Smith Park
8308 11TH AVE S,08/31/2021,"$285,000.00",Residential,856,Smith Park
8339 10TH AVE S,10/12/2022,"$250,000.00",Residential,856,Smith Park
8315 10TH AVE S,10/04/2021,"$224,000.00",Residential,856,Smith Park
8233 10TH AVE S,07/08/2022,"$315,000.00",Residential,886,Smith Park
8227 10TH AVE S,12/10/2021,"$300,000.00",Residential,856,Smith Park
8521 11TH AVE S,06/16/2022,"$378,000.00",Residential,1918,Smith Park
8515 11TH AVE S,10/29/2020,"$226,000.00",Residential,896,Smith Park
8451 11TH AVE S,08/21/2020,"$277,000.00",Residential,856,Smith Park
8414 11TH AVE S,10/07/2022,"$245,000.00",Residential,856,Smith Park
8520 11TH AVE S,03/09/2021,"$225,100.00",Residential,840,Smith Park
8538 11TH AVE S,09/13/2021,"$265,000.00",Residential,1236,Smith Park
